,Set 1,Set 1,Set 2,Set 2,Set 3,Set 3,Set 4,Set 4,Set 5,Set 5
,BWA MEM,Bowtie,BWA MEM,Bowtie,BWA MEM,Bowtie,BWA MEM,Bowtie,BWA MEM,Bowtie
Aligned,88.86,89.75,88.9,88.73,88.86,89.13,68.76,61.3,62.48,29.07
Misaligned,11.14,10.25,11.1,11.27,11.14,10.28,31.24,23.36,37.42,15.31
Unmapped,0.0,0.0,0.0,0.0,0.0,0.59,0.0,15.34,0.1,55.62
Precision,88.86,89.75,88.9,88.73,88.86,89.66,68.76,72.41,62.55,65.51
Recall,100.0,100.0,100.0,100.0,100.0,99.34,100.0,79.98,99.84,34.33
Fscore,94.1,94.6,94.12,94.03,94.1,94.25,81.49,76.01,76.91,45.05
